Trace 2"               	Trace 2"               	Trace 4"               	Trace 4"               	
Axis1"                 	Axis2"                 	Axis1"                 	Axis2"                 	
+1.730363875484020e-0003	+9.128927365808530e-0003	+2.180919633028210e-0003	+2.412455481354010e-0002	
+9.464355092331480e-0002	+5.618691836184470e-0002	+2.595844521853760e-0002	+1.150883691154110e-0002	
+1.497892607893350e-0001	+1.879338139322410e-0001	+4.896266150376490e-0002	+2.412455481354010e-0002	
+2.117748801357890e-0001	+3.806235693565620e-0001	+1.165718390858870e-0001	+1.491311191254310e-0001	
+2.577700381449210e-0001	+5.558775792781120e-0001	+1.622646955854940e-0001	+3.195926059295100e-0001	
+3.057199632823020e-0001	+7.553039610238670e-0001	+2.057394522550240e-0001	+5.124832357341260e-0001	
+3.487604594238550e-0001	+9.535693710231650e-0001	+2.496578288905690e-0001	+8.264912377416370e-0001	
+4.372089664104550e-0001	+1.428761939905000e+0000	+2.913581056960360e-0001	+1.189843354350330e+0000	
+5.494448178124040e-0001	+2.146494515922180e+0000	+3.390141197798250e-0001	+1.739528457369670e+0000	
+6.124322033221170e-0001	+2.590352494893200e+0000	+3.804858392636650e-0001	+2.256248747314220e+0000	
+6.531738173810250e-0001	+2.882913750363600e+0000	+4.200123782356550e-0001	+2.818771653767680e+0000	
+6.856490169931970e-0001	+3.127709902900060e+0000	+4.561230434693260e-0001	+3.366491325840780e+0000	
+7.169433002558360e-0001	+3.396388606903490e+0000	+4.971412173180490e-0001	+4.045375424851660e+0000	
+7.517803325670760e-0001	+3.617302207972980e+0000	+5.348458436028430e-0001	+4.723534620274280e+0000	
+8.163764568865620e-0001	+4.080444587296220e+0000	+5.689422542139600e-0001	+5.346360409380090e+0000	
+8.990981228775030e-0001	+4.628750051049250e+0000	+5.986391279720300e-0001	+5.906162160302570e+0000	
+9.932732081918340e-0001	+5.263607697208050e+0000	+6.286201050814730e-0001	+6.506976754934480e+0000	
                        	                        	+6.627762890144720e-0001	+7.220025492059670e+0000	
                        	                        	+6.927199790972080e-0001	+7.894927914204810e+0000	
                        	                        	+7.178688467833590e-0001	+8.504640291379420e+0000	
                        	                        	+7.495515859404450e-0001	+9.199710361610150e+0000	
                        	                        	+7.791719065209210e-0001	+9.761567270110980e+0000	
                        	                        	+8.146402885424650e-0001	+1.032580412406790e+0001	
                        	                        	+8.733007799164300e-0001	+1.082460399846000e+0001	
                        	                        	+9.359608502477100e-0001	+1.100659854722470e+0001	
                        	                        	+9.946213416216750e-0001	+1.102682016375410e+0001	
